,城市,价格,出游人数,评论数,详细出游人数,满意度,来回交通工具,行程天数,住宿类型,行程内交通时长,目的地,编号
771,广州,1000,1182,220人, , , , , ,共3次,桂林,210603039
772,广州,1809,1006,231人,43,93, ,共15个,3晚高档型, , ,210046644
773,广州,366,12,3人, , ,飞机/飞机, , ,共2次,桂林,210962672
774,广州,736,10,3人,86,100, ,共15个,3晚高档型, , ,210964006
775,广州,708,382,122人,481,87, , , , , ,210563958
776,广州,1629,143,46人, , ,动车组/动车组,共15个,3晚高档型,共3次,桂林,210677550
777,广州,1209,2081,507人,3,100, , , ,约4小时35分钟（行程内）,桂林,210553245
778,广州,1929,130,36人, , , ,共15个,3晚高档型, , ,210820048
779,广州,839,1,1人,20,100,飞机/飞机, , ,共3次,桂林,210443824
780,广州,2528,8,1人, ,100, , , , , ,210942488
781,广州,268,7,1人, , , ,共11个, , , ,210972223
782,广州,305,7,1人,12,100,动车组/动车组, ,3晚高档型, , ,210736754
783,广州,763,5,1人, , , , , ,共2次,桂林,210960874
784,广州,763,382,122人,276,78, ,共15个,3晚高档型, , ,210459879
785,广州,708,143,46人, , ,飞机/飞机, , , , ,210563958
786,广州,1629,2081,507人,8,100,飞机/飞机,共15个,3晚高档型,约4小时35分钟（行程内）,桂林,210677550
787,广州,1209,159,37人, , ,汽车/汽车, , ,共3次,桂林,210553245
788,广州,1872,130,36人,4,100, ,共15个,3晚高档型,共3次,桂林,210470377
789,广州,1929,17,6人, , , , , , , ,210820048
790,广州,1329,779,118人,83,99,飞机/飞机,共15个,3晚高档型, , ,210971665
791,广州,711,25,3人, , , , , , , ,210908201
792,广州,2360,2,1人,6,100, ,共15个,3晚高档型, , ,210496454
793,广州,2165,2,1人, , ,高铁二等座/高铁二等座, ,3晚高档型,共2次，约5小时,北海,210675675
794,广州,281,4524,1379人,56,97, ,共15个, , , ,320007648
795,广州,2121,3642,955人, , , ,共15个, ,共2次,桂林,210741988
796,广州,948,3487,1005人,1197,99,高铁二等座/高铁二等座, ,2晚高档型, , ,210115094
797,广州,3394,3487,1005人, , , , ,共2次,共1次,桂林,210614745
798,广州,738,3487,1005人,109,92, ,共11个, , , ,210731237
799,广州,919,3487,1005人, , ,自行安排/自行安排,共10个, , , ,210732233
800,广州,983,3487,1005人,4,97, , , , , ,210731240
801,广州,789,3487,1005人, , , , , , , ,210731159
802,广州,963,3487,1005人,8,100,飞机/飞机, , , , ,210732291
803,广州,1145,3487,1005人, , , , ,4晚高档型, , ,210731638
804,广州,1289,3487,1005人,7,100, , , , , ,210731177
805,广州,1038,3487,1005人, , ,飞机/飞机,共7个,3晚高档型, , ,210731669
806,广州,868,3487,1005人,79,92, , ,"1晚高档型,1晚经济型,1晚豪华型", , ,210732239
807,广州,819,3487,1005人,4,97, ,共19个, , , ,210731685
808,广州,972, , , , ,飞机/飞机,共15个,3晚高档型, , ,210732278
809,广州,2459, , ,5,100, , ,3晚高档型, , ,210732118
810,广州,3319,2297,643人, , , ,共19个,3晚高档型, , ,210680345
811,广州,1101,652,129人,30,100,动车组/动车组,共19个,3晚高档型,共2次，约3小时,桂林,210619209
812,广州,1589,59,6人, , , ,共19个,3晚高档型, , ,210770058
813,广州,1329,17,1人,12,100, ,共12个,3晚高档型, , ,210971665
814,广州,2528,2,118人, , ,飞机/飞机,共12个,"1晚高档型,1晚经济型,1晚豪华型", , ,210942488
815,广州,1470,779,32人,83,99, ,共12个,3晚高档型, , ,210446612
816,广州,2360,101,10人, , , ,共15个,"1晚高档型,1晚经济型,1晚豪华型",共2次，约5小时,北海,210496454
817,广州,2069,32,507人,109,92,自行安排/自行安排,共19个,3晚高档型, , ,210653205
818,广州,1759,1828,416人, , , ,共15个, , , ,210754931
819,广州,1640,1393,1605人,74,94, ,共12个,3晚高档型,约9小时55分钟（行程内）,桂林,210555824
820,广州,663,7203,132人, , ,飞机/飞机,共19个,"1晚经济型,2晚豪华型,1晚五星级", , ,210567178
821,广州,2100,668,3人,6,100, , , , , ,210054803
822,广州,1482,25,1人, , , ,共12个, , , ,210619211
823,广州,2165,2,23人,56,97,火车/火车, , , , ,210675675
824,广州,368,166,21人, , , , ,5晚豪华型,共2次，约4小时,桂林,210814432
825,广州,163,97,65人,1197,99, , , , , ,210082951
826,广州,2688,276,7人, , ,飞机/飞机,共18个, ,共1次,北海,210184620
827,广州,3814,26,5人,7,100,飞机/飞机, ,"1晚高档型,1晚豪华型", , ,210615863
828,广州,1899,23,116人, , , , , ,共3次,桂林,210819826
829,广州,7812,413,113人,84,99, ,共19个, ,约1小时30分钟（行程内）,桂林,210927589
830,广州,1971,433,9人, , ,动车组/动车组, ,约2小时30分钟（行程内）, , ,210676268
831,广州,1831,10,13人,4,97, , , , , ,210601168
832,广州,1839,76,10人, , , ,共11个,"1晚舒适型,2晚高档型", , ,320005554
833,广州,567,53,3人,4,97,飞机/飞机, ,4晚豪华型, , ,210675105
834,广州,1430,30,4人, , ,飞机/飞机,共12个, , , ,210558988
835,广州,2112,30,91人,276,78,飞机/飞机,共14个, , , ,210809400
836,广州,912,11,29人,5, , , , , , ,210954037
837,广州,1319,379, , ,100, , , ,共1次,桂林,210754699
838,广州,820,72, , , ,高铁二等座/高铁二等座, , , , ,210601926
839,广州,1090, , ,79,92, , , ,共3次,桂林,210567302
840,广州,1987,23,7人,14180,98,飞机/飞机,共17个, , , ,320006438
841,广州,1078,10,3人, , , ,共14个, , , ,210696950
842,广州,1534,23,7人,40541,96, , , , , ,210839815
843,广州,3700,381,102人,8,100,动车组/动车组, , , , ,210962639
844,广州,1059,152,37人, , , ,共4个, ,共1次，约1小时,桂林,210656693
845,广州,1020,11,2人,33,91, , , , , ,210153985
846,广州,1644,16,5人, , ,动车组/动车组, ,共2次, , ,210587322
847,广州,198,2,26人,34,100, , , , , ,210975522
848,广州,2389,107,6人, , , , , ,共1次,南宁,210977072
849,广州,3214,15,13人,24,100,自行安排/自行安排, , , , ,320004336
850,广州,2241,31,5人,3645,98,飞机/飞机,共14个, , , ,210809465
851,广州,3479,34,26人,11,95, , , , , ,210601016
852,广州,2107,231,104人,3642,98, , , , , ,210638252
853,广州,2759,452,1人,3644, ,飞机/飞机, , , , ,320005540
854,广州,929,4,7人, ,98, , ,"1晚高档型,1晚经济型", , ,320003901
855,广州,2346,32,8人,3642,98, , ,4晚经济型, , ,210984155
856,广州,2169,24,9人,3642,98,飞机/飞机, , , , ,320008120
857,广州,3044,25,6人, , , , ,3晚豪华型, , ,320005735
858,广州,1430,32,52人, , , ,共11个,"4晚四星级,3晚高档型",共2次,桂林,210242764
859,广州,1146,160, ,3642,98,飞机/飞机,共12个, , , ,210654692
860,广州,1200, , , , , , , , , ,210766985
861,广州,326, , ,3642,98, ,共11个,共1次, , ,210082898
862,广州,2180, , , , ,动车组/动车组,共15个, , , ,210586846
863,广州,2284, , ,6,100, , ,"1晚高档型,1晚经济型", , ,210679728
864,广州,2729, , , , , , ,5晚豪华型, , ,210554700
865,广州,798, , ,3642,98,自行安排/自行安排,共16个, ,共4次,桂林,210601932
866,广州,793, , ,3642,98, , ,3晚高档型,约4小时10分钟（行程内）,桂林,210780776
867,广州,2749, , ,3642,98, ,共11个,共1次, , ,210713314
868,广州,1050, , ,3,84,飞机/飞机,共18个, , , ,210617022
869,广州,1369, , , , , , , , , ,210722263
870,广州,126,16,3人,6, , ,共18个,2晚高档型, , ,210190757
871,广州,2415,12,2人, ,100,汽车/汽车, , , , ,210556406
872,广州,2765,29,3人, , ,飞机/飞机,共18个,2晚高档型, , ,210552614
873,广州,3278,7,1人,24,100, , , , , ,210891886
874,广州,1299,2,5人, , , ,共18个,2晚高档型, , ,210922803
875,广州,1220,19,5人,3645,98, , , , , ,320006288
876,广州,1500,17,25人,3644,98, ,共18个, , , ,210593972
877,广州,914,84,4人,3642,98,自行安排/自行安排, ,2晚高档型, , ,210574251
878,广州,1310,15,1491人,3642,98,动车组/动车组,共18个, ,共1次,桂林,210635066
879,广州,990,6598, , , , , ,2晚高档型, , ,210558990
880,广州,1529,5, ,3642,98, , , , , ,210049246
881,广州,1417,4, ,3642,98,自行安排/自行安排,共18个,2晚高档型,共2次,桂林,210791117
882,广州,1039, , ,3642, ,火车/火车, , , , ,210977749
883,广州,1236, , , ,98, ,共18个,2晚高档型, , ,210943408
884,广州,1348, , ,3642,98, , , , , ,210752477
885,广州,1349, , ,3642, ,飞机/飞机,共18个,2晚高档型, , ,210613226
886,广州,1535, , , ,98, , , , , ,210985053
887,广州,1327, , ,3642,98, ,共18个, , , ,210748914
888,广州,2278, , , , ,动车组/动车组, , , , ,210640633
889,广州,1430, , ,3642,98,飞机/飞机,共18个, , , ,210656441
890,广州,1206, , ,3,84, , ,3晚高档型, , ,210749437
891,广州,1614, , , , , , , , , ,210763933
892,广州,1457, , ,14139,96,飞机/飞机, , , , ,210797124
893,广州,1588, , ,11353,97, , ,2晚豪华型, , ,210558991
894,广州,1880, , ,32,98, ,共10个,4晚豪华型, , ,210752476
895,广州,1310, , , , ,汽车/汽车, ,4晚豪华型, , ,210988253
896,广州,1829, , ,65,90, , ,共1次, , ,210852213
897,广州,2172, , , , , ,共12个, , , ,210755850
898,广州,1654, , ,42,93,飞机/飞机,共14个, , , ,210915139
899,广州,1634, , , , , ,共17个, , , ,210657219
900,广州,923,78,12人, , ,飞机/飞机, , , , ,210910886
901,广州,1289,2,1人,7824,98, ,共18个,"2晚高档型,1晚经济型", , ,210909845
902,广州,2543,4,1人, , , , , , , ,210671332
903,广州,1258,2, ,2297,98,飞机/飞机, , , , ,210977585
904,广州,949,2, , , , , ,5晚高档型, , ,210790003
905,广州,1329,2, ,2297,98, ,共10个, ,共1次,北海,210962635
906,广州,2115,2, , , ,飞机/飞机, , , , ,210930618
907,广州,1736, , ,1023,97, , ,共1次, , ,210921693
908,广州,2164, , ,32,100, ,共12个, , , ,210493669
909,广州,2594, , , , ,飞机/飞机, ,"2晚经济型,2晚豪华型,1晚五星级", , ,320001097
910,广州,2603, , ,268,89, , , , , ,210898567
911,广州,2771, , , , , ,共8个, , , ,210932709
912,广州,1854, , ,18,100,飞机/飞机, , , , ,210955266
913,广州,2864, , , , , ,共16个, , , ,210981323
914,广州,1844, , ,20,87, , ,3晚高档型, , ,210873583
915,广州,2632, , ,3,100,飞机/飞机, ,约4小时30分钟（行程内）, , ,210545097
916,广州,4392, , , , , , , , , ,210676319
917,广州,2213, , ,14139,96, , , , , ,210650435
918,广州,2216, , ,11353,97,汽车/汽车,共10个,4晚豪华型, , ,210497583
919,广州,2524, , ,32,98,高铁二等座/高铁二等座,共12个, , , ,210921618
920,广州,5096, , , , , , ,"2晚豪华型,2晚五星级", , ,210986064
921,广州,2128, , ,42,93, , , , , ,210978484
922,广州,4202, , , , ,自行安排/自行安排,共14个, , , ,210995593
923,广州,2165, , ,65,90, , , , , ,210936551
924,广州,2447, , , , , ,共6个,共1次, , ,210988588
925,广州,3365, , ,99,84,飞机/飞机, , , , ,210995922
926,广州,2047, , , , , , , , , ,210937849
927,广州,5792, , ,5,96, , ,3晚高档型, , ,320000885
928,广州,4782, , , , ,动车组/动车组,共8个, , , ,210995746
929,广州,1460, , ,9,100, , ,2晚高档型, , ,210782161
930,广州,4964,8,2人,1023,97,火车/火车, , , , ,210710476
931,广州,1716,8,3人,7824,98, ,共8个,3晚高档型, , ,210782311
932,广州,5326,25,3人, , , , , , , ,210831236
933,广州,2875,25,2人,268,89,飞机/飞机, ,2晚高档型, , ,210834974
934,广州,1366,18,2人, , , , , , , ,210949830
935,广州,1218,10,19人,3,100, ,共10个, , , ,210809534
936,广州,1308,129,157人,32,100,火车/火车, ,共3次, , ,210923840
937,广州,2399,696,9人, , , ,共7个, , , ,210675676
938,广州,3349,59,6人, , , , ,共2次, , ,210675677
939,广州,1880,87,10人,18,100,自行安排/自行安排, , , , ,210356423
940,广州,1509,30,2人, , , ,共14个,约1小时（行程内）, , ,210976750
941,广州,189,16,13人,20,87, , , , , ,300333465
942,广州,1600,11,1人,2,100,自行安排/自行安排,共11个,共10次, , ,210675669
943,广州,695,5,1人, , ,自行安排/自行安排, , , , ,300225097
944,广州,298,8,1人,534,97, ,共9个, ,约2小时（行程内）,桂林,300220508
945,广州,2378,79, ,529,97, , ,约10小时45分钟（行程内）, , ,210545006
946,广州,2529,2, ,2,100,自行安排/自行安排,共8个, , , ,210679727
947,广州,505,2, , , , , , , , ,210964937
948,广州,1440,2, ,529,97, , , , , ,210608715
949,广州,679, , ,529,97,自行安排/自行安排,共7个, , , ,210975001
950,广州,482, , ,529,97, , , , , ,210519158
951,广州,1424, , ,529,97, , , , , ,210949952
952,广州,1566, , ,529,97,飞机/飞机, , , , ,210947636
953,广州,5393, , ,529,97, , ,"2晚高档型,1晚经济型", , ,320000513
954,广州,5800, , ,529,97, , , , , ,210930013
955,广州,775, , ,529,97,飞机/飞机, , , , ,210848312
956,广州,893, , ,14225,98, , , , , ,210764172
957,广州,1050, , ,24860,98, ,共8个, , , ,210656497
958,广州,1197, , ,1150,97,飞机/飞机, ,共2次, , ,210985042
959,广州,1418, , ,53,91, , , , , ,210985626
960,广州,1195,32,3人,529,97, , ,"2晚高档型,1晚经济型", , ,210790049
961,广州,1597,30,2人,529,97, , , , , ,210796980
962,广州,1448,5,1人,529,97,飞机/飞机, , , , ,210952497
963,广州,2284,4,1人,529,97, , , , , ,210622021
964,广州,3214,3, ,529,97, ,共8个, , , ,210606896
965,广州,1460,2, ,529,97,动车组/动车组, , , , ,210952510
966,广州,1825, , ,529,97,飞机/飞机, ,共2次, , ,210827921
967,广州,1480, , ,529,97, , , , , ,210985625
968,广州,1491, , ,529,97, , ,约7小时（行程内）, , ,210985627
969,广州,1334, , ,529,97,飞机/飞机, ,"1晚高档型,1晚经济型", , ,210985628
970,广州,158, , ,1150,97, ,共13个, , , ,300329513
971,广州,398, , , , , , ,共2次, , ,300221029
972,广州,2100, , ,14225,98,自行安排/自行安排,共8个, , , ,210899150
973,广州,2100, , ,53,91, ,共5个, , , ,210710350
974,广州,1026, , , , , , , , , ,210667473
975,广州,2574, , ,18,100,飞机/飞机,共8个,共3个购物点，约3小时30分钟, , ,210977784
976,广州,3182, , , , , , , , , ,210998992
977,广州,2769, , ,23,100, , ,共3个购物点，约3小时30分钟, , ,210981344
978,广州,3824, , , , ,飞机/飞机, , , , ,320008578
979,广州,3754, , ,24860,98, ,共15个,共2次, , ,320008673
980,广州,3964, , , , , , , , , ,320008671
981,广州,2694, , ,4,87,汽车/汽车,共16个, , , ,320005136
982,广州,3182, , , , , , , , , ,320008672
983,广州,2754, , ,302,93, ,共7个, , , ,320008705
984,广州,2022, , , , ,动车组/动车组, , , , ,210949428
985,广州,2629, , ,1,100, , , , , ,210981343
986,广州,1980, , , , , , ,"1晚舒适型,1晚高档型,1晚经济型", , ,210984492
987,广州,2374, , ,3791,98,汽车/汽车, , , , ,210977785
988,广州,3832, , ,10,100, , ,"1晚高档型,1晚五星级", , ,320008577
989,广州,2843, , , , , , , , , ,210952903
990,广州,1610,4,12人,5,100,自行安排/自行安排, , , , ,210987751
991,广州,2599,78,4人, , , , ,"1晚舒适型,1晚高档型,1晚经济型", , ,210930568
992,广州,1650,25,5人,5,100, ,共9个, , , ,210672420
993,广州,1185,38,3人, , ,自行安排/自行安排, , , , ,210779089
994,广州,1450,10,3人,1182,91, , , , , ,210779094
995,广州,1784,9,19人,2,100, ,共9个, , , ,210838580
996,广州,968,109, ,5,100,飞机/飞机, , , , ,210517888
997,广州,245,2, , , , , , , , ,300220461
998,广州,198, , ,185,100, , , , , ,300517352
999,广州,99, , ,4,100,汽车/汽车, , , , ,300623680
1000,广州,980, , , , , , , , , ,210963416
1001,广州,2165, , ,2,100, , , , , ,210995064
1002,广州,632, , ,1006,97,自行安排/自行安排, , , , ,210839832
1003,广州,484, , , , , , , , , ,210823416
1004,广州,832, , ,10,98, , , , , ,320005488
1005,广州,737, , , , ,动车组/动车组, , , , ,320005491
1006,广州,550, , ,12,100, , , , , ,300291920
1007,广州,2180, , , , , , , , , ,210670931
1008,广州,1903, , ,18,100,飞机/飞机, , , , ,210961732
1009,广州,2003, , , , , , , , , ,210961737
1010,广州,1753, , ,1182,91, , , , , ,210962451
1011,广州,1511, , ,382,98,飞机/飞机, , , , ,320006292
1012,广州,2995, , ,2081,97, , , , , ,320007356
1013,广州,2472, , ,130,99, , , , , ,210930194
1014,广州,2230, , ,143,100,飞机/飞机, ,共2次, , ,210931404
1015,广州,2480, , ,1,100, , , , , ,210931413
1016,广州,2020, , , , , , ,"1晚高档型,1晚经济型", , ,210924509
1017,广州,2466, , ,123,89,飞机/飞机, , , , ,320005254
1018,广州,2163, , , , , ,共11个, , , ,320006349
1019,广州,2908, , ,56,100, , , , , ,210940262
1020,广州,3157, , ,5,100,飞机/飞机,共3个, , , ,210930586
1021,广州,2753, , , , , ,共11个, , , ,320003144
1022,广州,2220, , ,18,100, , , , , ,320006351
1023,广州,3265, , , , ,火车/火车, , , , ,320003459
1024,广州,2477, , ,1182,91,邮轮/邮轮, , , , ,320006235
1025,广州,3565, , ,185,100, , , , , ,320003456
1026,广州,2650, , ,382,98, , , , , ,320006099
1027,广州,2290, , ,12,100, , , , , ,210931399
1028,广州,3508, , , , , , , , , ,210931387
1029,广州,2324, , ,1006,97,高铁二等座/高铁二等座, , , , ,210941840
1030,广州,1920, , , , , , , , , ,210962452
1031,广州,2120, , ,10,98, , , , , ,210961738
1032,广州,2041, , , , ,飞机/飞机, , , , ,210961733
1033,广州,3712, , ,143,100, , , , , ,210915061
1034,广州,3629, , ,2081,97, , , , , ,210930587
1035,广州,2524, , ,1,100,动车组/动车组, , , , ,320006353
1036,广州,1758, , , , , , , , , ,210940732
1037,广州,2732, , ,130,99, , , , , ,210934513
1038,广州,2346, , ,8,100,飞机/飞机, , , , ,210932211
1039,广州,2481, , , , , , , , , ,210940723
1040,广州,2559, , ,5,100, , , , , ,210930199
1041,广州,2766, , , , ,动车组/动车组, , , , ,210988524
1042,广州,2624, , , , , , , , , ,210934515
1043,广州,2130, , ,7,100, , , , , ,210931700
1044,广州,2180, , , , ,自行安排/自行安排, , , , ,210670930
1045,广州,1675, , ,382,98,动车组/动车组, , , , ,210622680
1046,广州,2598, , ,2081,97, , , , , ,210931728
1047,广州,2958, , ,7,100, , , , , ,210929095
1048,广州,2346, , , , ,自行安排/自行安排, , , , ,210940246
1049,广州,2320, , ,130,99, , , , , ,210931430
1050,广州,2348,11,1人, , , , , , , ,320005510
1051,广州,1338,22,1人,3487,98, , , , , ,210594047
1052,广州,2222,22,2人, , ,高铁二等座/高铁二等座, , , , ,210940726
1053,广州,2877,9,2人,3487,98, , , , , ,210916196
1054,广州,2622,9,1人, , , , , , , ,210932217
1055,广州,2820,11, ,3487,98,汽车/汽车, , , , ,210926546
1056,广州,2506, , , , , , ,"2晚高档型,3晚豪华型", , ,210933585
1057,广州,2772, , ,3487,98, , , , , ,210929755
1058,广州,2346, , , , ,飞机/飞机, , , , ,210933575
1059,广州,2310, , , , , , , , , ,210931707
1060,广州,2510, , ,8,100, ,共13个, , , ,210988525
1061,广州,1988, , , , ,邮轮/邮轮, , , , ,210938625
1062,广州,2126, , ,7,100, , , , , ,320005009
1063,广州,2588, , , , , , , , , ,210934562
1064,广州,2522, , ,382,98,动车组/动车组, , , , ,210933581
1065,广州,1466, , ,7,100, , , , , ,210942040
1066,广州,2246, , , , , , , , , ,320005508
1067,广州,2752, , ,5,100,火车/火车, , , , ,210936628
1068,广州,2822, , , , , , , , , ,210929143
1069,广州,2106, , ,2081,97, , , , , ,320005538
1070,广州,2893, , ,143,100,飞机/飞机, , , , ,210765080
1071,广州,337, , ,130,99, , , , , ,210559332
1072,广州,5300, , ,159,98, , , , , ,210981269
1073,广州,198, , , , ,飞机/飞机, , , , ,300220323
1074,广州,2100, , ,17,99, , , ,约4小时55分钟（行程内）,"
                                
                                    
                                        联合发团；本产品与其他旅行社联合发团。
                                        
                                        
                                    
                                
                            ",210944454
1075,广州,817, , , , , , , , , ,210944671
1076,广州,625, , , , ,动车组/动车组, , , , ,300231439
1077,广州,382, , ,2,100, , , , , ,210975000
1078,广州,261, , , , , , , , , ,320005495
1079,广州,828, , ,779,93,自行安排/自行安排, , , , ,210964938
1080,广州,800,11,3人,2297,98,高铁二等座/高铁二等座, , , , ,320005489
1081,广州,763,42,4人, , ,高铁二等座/高铁二等座, , , , ,210964936
1082,广州,169,25,5人,652,92, , , , , ,210974876
1083,广州,1158,4,1人,17,99, , , , , ,320005490
1084,广州,2295,4,1人, , ,高铁二等座/高铁二等座, , , , ,210948375
1085,广州,177,3,1人, , ,高铁二等座/高铁二等座, , , , ,320007496
1086,广州,1180,8,1人,779,93, , , , , ,300337309
1087,广州,623,6,1人, , , , , , , ,300283563
1088,广州,1030,4,2人,2,100,高铁二等座/高铁二等座, , , , ,210547825
1089,广州,619,5,1人, , ,高铁二等座/高铁二等座, , , , ,210496534
1090,广州,1814,5, ,101,96, , , , , ,210625894
1091,广州,1448,5, , , , , , , , ,210940234
1092,广州,3158,4, ,32,99,动车组/动车组, , , , ,210992510
1093,广州,463,9, ,25,100,自行安排/自行安排, , ,共1次,百色,210960873
1094,广州,97,2, , , , , , , , ,210976445
1095,广州,1680,1, ,1393,98, , , , , ,300408945
1096,广州,667,2, , , ,自行安排/自行安排, , , , ,210944272
1097,广州,2100, , ,1828,97,自行安排/自行安排, , , , ,210944461
1098,广州,790, , , , ,动车组/汽车, , , , ,210961601
1099,广州,473, , ,7203,95, , , , , ,300323601
1100,广州,305, , , , , , , , , ,320005487
1101,广州,741, , ,668,91,汽车/游船, , , , ,210934555
1102,广州,2078, , ,97,96, , , , , ,210931724
1103,广州,1624, , ,2,87, , , , , ,210938528
1104,广州,1788, , ,166,96,自行安排/自行安排, , , , ,210934583
1105,广州,2099, , , , , , , , , ,210931753
1106,广州,1204, , , , , , , , , ,210900260
1107,广州,418, , ,26,99,游船/游船, , , , ,210976446
1108,广州,368, , ,276,94, , , , , ,210976588
1109,广州,2560, , , , , , , , , ,210622598
1110,广州,147,4,1人,1828,97,动车组/动车组, , , , ,210976444
1111,广州,185, , , , , , , , , ,210943349
1112,广州,436, , ,32,99, , , , , ,210766773
1113,广州,379, , ,1393,98,动车组/动车组, , , , ,210973107
1114,广州,534, , , , , , , , , ,210925389
1115,广州,218, , ,7203,95, , , , , ,210923664
1116,广州,474, , , , ,高铁二等座/高铁二等座, , , , ,210923776
1117,广州,400, , ,2,87, , , , , ,320005493
1118,广州,360, , , , , , , , , ,210920385
1119,广州,589, , ,25,100,动车组/动车组, , , , ,320005492
1120,广州,1115, , , , , , , , , ,300284004
1121,广州,2350, , ,668,91, , , , , ,320003871
1122,广州,872, , ,166,96,自行安排/自行安排, , , , ,210980010
1123,广州,947, , , , , , , , , ,210980008
1124,广州,937, , ,97,96, , , , , ,210980007
1125,广州,752, , ,276,94,高铁二等座/高铁二等座, , , , ,210980009
1126,广州,872, , , , , , , , , ,210980011
1127,广州,703, , ,26,99, , , , , ,210598160
1128,广州,643, , ,23,100,高铁二等座/高铁二等座, , , , ,210976773
1129,广州,281, , ,413,99, , , , , ,210649166
1130,广州,610, , , , , , , , , ,210945939
1131,广州,587, , ,76,79,高铁二等座/高铁二等座, , , , ,210597425
1132,广州,587, , , , ,自行安排/自行安排, , , , ,210597263
1133,广州,719, , ,433,99, , , , , ,210976772
1134,广州,2106, , , , , , , , , ,210741996
1135,广州,253, , , , ,汽车/汽车, , , , ,320002973
1136,广州,403, , ,30,100, , , , , ,210955130
1137,广州,735, , , , , , , , , ,210598151
1138,广州,703, , ,30,100,自行安排/自行安排, , , , ,210598156
1139,广州,970, , , , , , , , , ,210976770
1140,广州,177,1,1人,34,92, , , , , ,210519410
1141,广州,698,7,3人, , ,飞机/飞机, , , , ,210976771
1142,广州,799,2,1人, , , , , , , ,300623693
1143,广州,1570,2,1人, , , , , , , ,210572025
1144,广州,770,2,1人,4,100,飞机/飞机, , , , ,300619487
1145,广州,480,2, , , , , , , , ,210934312
1146,广州,232,2, ,231,98, , , , , ,210933386
1147,广州,1110,18, , , ,动车组/动车组, , , , ,300625393
1148,广州,850, , ,24,100, , , , , ,300338302
1149,广州,588, , , , , , , , , ,300604532
1150,广州,1400, , ,452,95,飞机/飞机, , , , ,210962204
1151,广州,2113, , , , , , , , , ,320004646
1152,广州,145, , ,31,98, , , , , ,210962489
1153,广州,740, , , , ,飞机/飞机, , , , ,320007651
1154,广州,249, , ,32,100, , , , , ,320007645
1155,广州,172, , ,32,99, , , , , ,320007647
1156,广州,270, , , , ,动车组/动车组, , , , ,320007649
1157,广州,194, , ,25,98, , , , , ,320007646
1158,广州,945, , , , , , , , , ,210961950
1159,广州,632, , ,160,96,高铁二等座/高铁二等座, , , , ,210961948
1160,广州,959, , , , , , , , , ,210961949
1161,广州,259, , , , , , , , , ,320007652
1162,广州,3773, , ,23,98,动车组/动车组, , , , ,320002624
1163,广州,1946, , , , , , , , , ,210946627
1164,广州,1666, , ,10,100, , , , , ,320003570
1165,广州,2257, , , , ,高铁二等座/高铁二等座, , , , ,320002623
1166,广州,1973, , ,23,100, , , , , ,210461076
1167,广州,2266, , ,381,94, , , , , ,210936602
1168,广州,2599, , , , ,高铁二等座/高铁二等座, , , , ,210821480
1169,广州,319, , ,11,60, , , , , ,210960437
1170,广州,300,21,2人,32,99, , , , , ,300289182
1171,广州,1188,3626,1034人, , , , , ,共2次,桂林,210759659
1172,广州,488,11,1人,25,98,动车组/动车组, , , , ,300225133
1173,广州,1375,2,1人, , ,高铁二等座/高铁二等座, , , , ,300228147
1174,广州,1850,4,2人,16,93,高铁二等座/高铁二等座, , , , ,210977807
1175,广州,1227,809,162人, , ,高铁二等座/高铁二等座, , , , ,210639817
1176,广州,1101,805,162人,12,97,高铁二等座/高铁二等座, , ,共1个购物点，约2小时,安顺,210639816
1177,广州,547,650,128人, , ,高铁二等座/高铁二等座, , ,共1次，约2小时,桂林,210767846
1178,广州,937,653,128人,29,89,高铁二等座/高铁二等座, , ,共2次，约2小时40分钟,桂林,210757358
1179,广州,550,10,1人, , ,高铁二等座/高铁二等座, , , , ,210935881
1180,广州,1200,9,1人,2,100,自行安排/自行安排, , , , ,210428931
1181,广州,363,4,4人, , ,自行安排/自行安排, , , , ,210974984
1182,广州,216,43,1人, , ,自行安排/自行安排, , , , ,320007650
1183,广州,401,8,1人, , ,自行安排/自行安排, , , , ,320007653
1184,广州,2946,2, ,19,100, , ,"2晚高档型,1晚豪华型", , ,320000887
1185,广州,358,2, , , , , , , , ,300234541
1186,广州,2999,12, ,17,100, , , , , ,210994483
1187,广州,2699,4, , , , , , , , ,210994485
1188,广州,2099, , ,84,99,高铁二等座/高铁二等座,共12个,3晚豪华型, , ,320005006
1189,广州,2699, , , , ,自行安排/自行安排, , , , ,320005001
1190,广州,2099, , ,15,100, , , , , ,320005083
1191,广州,1899, , , , , ,共10个, , , ,320005002
1192,广州,4195, , ,6598,95,高铁二等座/高铁二等座, , , , ,210993892
1193,广州,218, , , , ,自行安排/自行安排, , , , ,210833417
1194,广州,599, , , , , , , , , ,300559702
1195,广州,228, , , , , , , , , ,300220585
1196,广州,735, , , , ,飞机/飞机, , , , ,300408890
1197,广州,469, , , , , , , , , ,210455356
1198,广州,1214, , , , , , , , , ,210964192
1199,广州,349, , , , , , , , , ,320005729
1200,广州,3560,2,22人, , ,高铁二等座/高铁二等座, , , , ,210962629
1201,广州,2664,1, , , ,高铁二等座/高铁二等座, , , , ,210962630
1202,广州,469,548, , , ,高铁二等座/高铁二等座, , , , ,210927890
1203,广州,2139,7, , , ,高铁二等座/高铁二等座, , , , ,210962650
1204,广州,3669,4, , , ,高铁二等座/高铁二等座, , , , ,210962658
